สถิติจำนวนการเกิด,,,
พื้นที่ ทั่วประเทศ,,,
ข้อมูลเดือน มกราคม 2563 ถึงเดือน ธันวาคม 2566,,,
พื้นที่,ชาย,หญิง,รวม
มกราคม 2563,"26,706","24,881","51,587"
กุมภาพันธ์ 2563,"21,758","20,484","42,242"
มีนาคม 2563,"24,877","23,256","48,133"
เมษายน 2563,"24,807","23,013","47,820"
พฤษภาคม 2563,"24,624","23,291","47,915"
มิถุนายน 2563,"25,368","23,819","49,187"
กรกฎาคม 2563,"26,143","24,259","50,402"
สิงหาคม 2563,"26,460","24,842","51,302"
กันยายน 2563,"28,029","26,170","54,199"
ตุลาคม 2563,"26,317","24,885","51,202"
พฤศจิกายน 2563,"25,018","23,826","48,844"
ธันวาคม 2563,"22,729","21,806","44,535"
มกราคม 2564,"20,525","19,281","39,806"
กุมภาพันธ์ 2564,"18,476","17,367","35,843"
มีนาคม 2564,"23,979","22,827","46,806"
เมษายน 2564,"22,320","21,065","43,385"
พฤษภาคม 2564,"22,723","21,228","43,951"
มิถุนายน 2564,"22,743","21,372","44,115"
กรกฎาคม 2564,"23,939","22,491","46,430"
สิงหาคม 2564,"26,057","24,621","50,678"
กันยายน 2564,"26,077","24,605","50,682"
ตุลาคม 2564,"24,227","22,891","47,118"
พฤศจิกายน 2564,"25,516","23,873","49,389"
ธันวาคม 2564,"23,969","22,398","46,367"
มกราคม 2565,"21,163","20,090","41,253"
กุมภาพันธ์ 2565,"18,180","17,003","35,183"
มีนาคม 2565,"20,684","19,214","39,898"
เมษายน 2565,"18,794","17,643","36,437"
พฤษภาคม 2565,"20,057","18,842","38,899"
มิถุนายน 2565,"20,991","19,398","40,389"
กรกฎาคม 2565,"19,965","18,430","38,395"
สิงหาคม 2565,"25,899","23,749","49,648"
กันยายน 2565,"25,589","24,094","49,683"
ตุลาคม 2565,"24,212","22,830","47,042"
พฤศจิกายน 2565,"22,587","21,082","43,669"
ธันวาคม 2565,"21,437","20,174","41,611"
มกราคม 2566,"22,757","21,358","44,115"
กุมภาพันธ์ 2566,"19,837","18,868","38,705"
มีนาคม 2566,"22,554","21,265","43,819"
เมษายน 2566,"19,589","18,320","37,909"
พฤษภาคม 2566,"22,144","20,990","43,134"
มิถุนายน 2566,"21,728","20,293","42,021"
กรกฎาคม 2566,"21,488","20,343","41,831"
สิงหาคม 2566,"24,363","23,095","47,458"
กันยายน 2566,"24,148","22,601","46,749"
ตุลาคม 2566,"24,322","22,987","47,309"
พฤศจิกายน 2566,"22,513","21,398","43,911"
ธันวาคม 2566,"20,983","19,990","40,973"
ยอดรวมทั้งหมด,"1,109,371","1,042,608","2,151,979"
,,,
